experiment,learning_rate,gamma,batch_size,buffer_size,eps_start,eps_end,eps_fraction,tau,net_arch,mean_reward_last10,mean_reward_all
E01_baseline,0.001,0.99,64,50000,1.0,0.05,0.2,1.0,"[64, 64]",135.826,126.348
E02_low_lr,0.0005,0.99,64,50000,1.0,0.05,0.2,1.0,"[64, 64]",120.845,124.185
E03_low_gamma,0.001,0.95,64,50000,1.0,0.05,0.2,1.0,"[64, 64]",132.507,126.336
E04_large_batch,0.001,0.99,128,50000,1.0,0.05,0.2,1.0,"[64, 64]",132.979,126.777
E05_large_buffer,0.001,0.99,64,100000,1.0,0.05,0.3,1.0,"[64, 64]",130.325,122.167
E06_low_eps_end,0.001,0.99,64,50000,1.0,0.01,0.5,1.0,"[64, 64]",133.152,118.951
E07_soft_update,0.001,0.99,64,50000,1.0,0.05,0.2,0.005,"[64, 64]",130.98,127.389
E08_wide_net,0.001,0.99,64,50000,1.0,0.05,0.2,1.0,"[128, 128]",132.157,126.844
E09_deep_net,0.001,0.99,64,50000,1.0,0.05,0.2,1.0,"[64, 64, 64]",130.7,126.444
E10_best_guess,0.0003,0.995,64,80000,1.0,0.02,0.4,0.005,"[128, 128, 64]",134.199,123.08
