experiment,learning_rate,gamma,hidden,entropy_coef,episodes,mean_reward_last20,mean_reward_all
R01_baseline,0.001,0.99,"[64, 64]",0.01,300,71.488,70.355
R02_low_lr,0.0005,0.99,"[64, 64]",0.01,300,75.86,70.083
R03_high_lr,0.002,0.99,"[64, 64]",0.01,300,96.293,85.516
R04_low_gamma,0.001,0.95,"[64, 64]",0.01,300,85.111,78.234
R05_wide_net,0.001,0.99,"[128, 128]",0.01,300,81.835,74.055
R06_deep_net,0.001,0.99,"[64, 64, 64]",0.01,300,83.93,73.808
R07_high_entropy,0.001,0.99,"[64, 64]",0.05,300,75.816,70.968
R08_low_entropy,0.001,0.99,"[64, 64]",0.001,300,76.065,71.357
R09_high_gamma,0.001,0.995,"[128, 64]",0.02,300,83.834,74.451
R10_best_guess,0.0003,0.995,"[128, 128, 64]",0.02,300,67.991,70.116
